search_term,name,category,size,pack,unit_price,case_price,url
onions,Jumbo Red Onions,"ONIONS, RED, FRESH",25 LB,1,9.49,,https://www.chefstore.com/p/jumbo-red-onions_6431738/
onions,Sweet Onions,"ONIONS, YELLOW, FRESH",10 LB,5,7.29,36.19,https://www.chefstore.com/p/sweet-onions_3644628/
onions,Yellow Onions 25lb,"ONIONS, YELLOW, FRESH",25 LB,1,7.99,,https://www.chefstore.com/p/yellow-onions-25lb_1015965/
onions,Green Onions,"ONIONS, GREEN, FRESH",2 LB,4,10.99,43.89,https://www.chefstore.com/p/green-onions_1531268/
onions,Diced Yellow Onions,"ONIONS, YELLOW, FRESH, VALUE ADDED",48 OZ,6,6.59,39.29,https://www.chefstore.com/p/diced-yellow-onions_0938741/
onions,Shallots Bagged,"ONIONS, OTHER, FRESH",5 LB,8,8.79,70.19,https://www.chefstore.com/p/shallots-bagged_6293328/
frozen spinach,Garden-fresh Chopped Spinach,"SPINACH, FROZEN",48 OZ,12,4.09,46.99,https://www.chefstore.com/p/garden-fresh-chopped-spinach_5810111/
frozen spinach,Flav-r-pac Chopped Spinach,"SPINACH, FROZEN",3 LB,12,3.49,39.79,https://www.chefstore.com/p/flav-r-pac-chopped-spinach_7018377/
frozen spinach,Spring Valley Spanakopita Spinach & Cheese Filos,HORS D'OEUVRES & CANAPES (NOT FOR FRYER) FROZEN,24 OZ,6,21.79,127.19,https://www.chefstore.com/p/spring-valley-spanakopita-spinach-cheese-filos_9898066/
frozen spinach,Valley Fine Foods Spinach And Cheese Fontina Egg White Bite 28/2oz,"EGG, PATTIES COOKED, FROZEN",28/2 OZ,1,34.49,,https://www.chefstore.com/p/valley-fine-foods-spinach-cheese-fontina-egg-white-bite-282oz_1145777/
frozen peas,Garden Fresh Green Peas,"VEGETABLES, OTHER, FROZEN",5 LB,6,6.99,39.89,https://www.chefstore.com/p/garden-fresh-green-peas_6179532/
frozen peas,Garden-fresh Peas & Carrots,"VEGETABLES, MIXED, FROZEN",5 LB,6,5.39,32.29,https://www.chefstore.com/p/garden-fresh-peas-carrots_2444455/
frozen peas,Garden-fresh Sweet Petite Peas,"PEAS, GREEN, FROZEN",5 LB,6,7.19,41.19,https://www.chefstore.com/p/garden-fresh-sweet-petite-peas_1623858/
frozen peas,Flav-r-pac Fruit Favorites Peach Cubes,"PEACHES, FROZEN",5 LB,4,15.49,58.79,https://www.chefstore.com/p/flav-r-pac-fruit-favorites-peach-cubes_1788153/
frozen peas,Armanino Foods Frozen Basil Pesto Sauce,"SAUCE, PESTO, READY TO SERVE, FROZEN",30 OZ,6,15.59,89.19,https://www.chefstore.com/p/armanino-foods-frozen-basil-pesto-sauce_7076078/
frozen peas,Flav-R-Pac IQF Frozen Sliced Peaches,"PEACHES, FROZEN",5 LB,4,15.19,57.79,https://www.chefstore.com/p/flav-r-pac-iqf-frozen-sliced-peaches_9148973/
frozen peas,Panapesca Chilean Rock Crab Meat,"CRABMEAT, PASTEURIZED, FROZEN",2 LB,5,37.49,180.19,https://www.chefstore.com/p/panapesca-chilean-rock-crab-meat_4581546/
frozen peas,Aqua Star Red Deepsea Crab Meat Wild Caught,"CRABMEAT, PASTEURIZED, FROZEN",2.5 LB,2,118.59,225.69,https://www.chefstore.com/p/aqua-star-red-deepsea-crab-meat-wild-caught_8200491/
frozen peas,Delizza Patisserie Belgian Mini Eclairs Custard Cream Filled,"PASTRY, OTHER, FROZEN",50 EA,6,14.39,86.19,https://www.chefstore.com/p/delizza-patisserie-belgian-mini-eclairs-custard-cream-filled_1116775/
frozen peas,Orange Bakery Puff Pastry Sheet Dough 15 X 23 Inch,"PUFF PASTRY, DOUGH, FROZEN",9/27 OZ,1,39.79,,https://www.chefstore.com/p/orange-bakery-puff-pastry-sheet-dough-15-x-23-inch_7665789/
lasagna,Roseli Lasagna,"PASTA, LASAGNA , DRY",10 LB,1,15.79,,https://www.chefstore.com/p/roseli-lasagna_3328127/
lasagna,Award Cuisine Vegetable Lasagna Cooked Tray Frozen 4/96 Oz,"LASAGNA, ENTREE, FROZEN",96 OZ,4,25.79,100.69,https://www.chefstore.com/p/award-cuisine-vegetable-lasagna-cooked-tray-frozen-496-oz_3213626/
lasagna,Award Cuisine Meat Lasagna Tray Frozen 4/96oz,"LASAGNA, ENTREE, FROZEN",96 OZ,4,29.99,115.79,https://www.chefstore.com/p/award-cuisine-meat-lasagna-tray-frozen-496oz_8213613/
lasagna,Dynamic Giant Foil Lasagna Pan,"CARRY-OUT CONTAINER, ALUMINUM, DISPOSABLE",1 EA,60,1.49,73.59,https://www.chefstore.com/p/dynamic-giant-foil-lasagna-pan_8020788/
lasagna,Perfect Pasta Pre-cooked Egg Pasta Sheets 8.75x11 Frozen 10lb,"PASTA, LASAGNA , FROZEN",10 LB,1,27.39,,https://www.chefstore.com/p/perfect-pasta-pre-cooked-egg-pasta-sheets-875x11-frozen-10lb_1278624/
curry powder,Monarch Curry Powder,SPICES,13 OZ,4,7.79,31.09,https://www.chefstore.com/p/monarch-curry-powder_2693684/
curry powder,Mccormick Curry Powder,SPICES,16 OZ,1,16.19,,https://www.chefstore.com/p/mccormick-curry-powder_1011087/
